Month,Baseline_Claims,CM_Claims,Monthly_Reduction,Cumulative_Reduction,Reduction_%,Cost_Savings
2024-01,57.1,57.1,0.0,0.0,0.0,0.0
2024-02,61.0,61.0,0.0,0.0,0.0,0.0
2024-03,63.5,60.7,2.8,2.8,4.37,2357.0
2024-04,69.3,61.1,8.2,11.0,11.84,6973.0
2024-05,73.8,60.2,13.5,24.5,18.33,11492.0
2024-06,70.3,58.5,11.9,36.4,16.87,10080.0
2024-07,60.9,55.9,5.0,41.3,8.16,4222.0
2024-08,54.1,52.7,1.4,42.7,2.62,1204.0
2024-09,48.8,48.8,0.0,42.7,0.0,0.0
2024-10,44.6,44.6,0.0,42.7,0.0,0.0
2024-11,44.0,44.0,0.0,42.7,0.0,0.0
2024-12,45.0,44.9,0.1,42.8,0.19,72.0
