Month,Baseline_Claims,CM_Claims,Monthly_Reduction,Cumulative_Reduction,Reduction_%,Cost_Savings
2024-01,48.2,48.2,0.0,0.0,0.0,0.0
2024-02,50.4,50.4,0.0,0.0,0.0,0.0
2024-03,53.1,53.1,0.0,0.0,0.0,0.0
2024-04,57.6,57.6,0.0,0.0,0.0,0.0
2024-05,61.7,58.7,3.0,3.0,4.81,2524.0
2024-06,62.4,57.0,5.3,8.3,8.57,4543.0
2024-07,58.5,55.2,3.2,11.5,5.52,2741.0
2024-08,54.4,52.8,1.7,13.2,3.06,1418.0
2024-09,55.9,51.9,3.9,17.1,7.02,3335.0
2024-10,51.3,49.3,2.0,19.1,3.92,1709.0
2024-11,46.8,46.7,0.1,19.2,0.12,48.0
2024-12,44.0,44.0,0.0,19.2,0.0,0.0
