Month,Baseline_Claims,CM_Claims,Monthly_Reduction,Cumulative_Reduction,Reduction_%,Cost_Savings
2024-01,56.4,56.4,0.0,0.0,0.0,0.0
2024-02,59.7,59.7,0.0,0.0,0.0,0.0
2024-03,62.2,61.4,0.8,0.8,1.29,681.0
2024-04,68.3,61.9,6.3,7.1,9.25,5365.0
2024-05,69.2,61.0,8.2,15.4,11.91,7008.0
2024-06,67.0,59.1,8.0,23.3,11.87,6758.0
2024-07,62.4,54.9,7.5,30.8,11.98,6359.0
2024-08,58.1,50.5,7.6,38.4,13.04,6438.0
2024-09,52.2,48.4,3.8,42.2,7.26,3220.0
2024-10,51.3,47.8,3.5,45.7,6.84,2982.0
2024-11,49.7,47.6,2.1,47.8,4.32,1826.0
2024-12,48.8,46.1,2.8,50.6,5.65,2345.0
